instanceID,ts_start,ts_end,duration,status,code,message,comment,contractCategory,iecCategory
LLY_WTG12,13-Dec-2019 14:02:11,13-Dec-2019 14:58:08,00:55:57,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,14-Dec-2019 02:31:55,14-Dec-2019 13:38:25,11:06:30,stop,31,Gear oil cold or superheated,Escalated to DWT 14/12,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,14-Dec-2019 16:06:21,15-Dec-2019 12:34:27,20:28:06,stop,31,Gear oil cold or superheated,Escalated to DWT 14/12,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,14-Dec-2019 23:32:54,14-Dec-2019 23:44:42,00:11:48,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,15-Dec-2019 18:27:17,15-Dec-2019 18:52:39,00:25:22,stop,52,Frequency on mains too high,Grid Outage,Grid - External Unplanned outage,<undefined>
LLY_WTG12,15-Dec-2019 18:30:24,15-Dec-2019 18:42:38,00:12:14,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,16-Dec-2019 02:26:51,16-Dec-2019 14:37:49,12:10:58,stop,31,Gear oil cold or superheated,Escalated to DWT by Natural Power,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,16-Dec-2019 14:19:59,16-Dec-2019 14:43:43,00:23:44,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,16-Dec-2019 14:43:43,04-Jan-2020 08:46:51,450:03:08,warning,50050,Transformer fault,,<undefined>,<undefined>
LLY_WTG12,18-Dec-2019 18:31:20,19-Dec-2019 15:30:49,20:59:29,stop,31,Gear oil cold or superheated,Escalated to DWT 18/12,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,19-Dec-2019 13:53:53,19-Dec-2019 15:38:00,01:44:07,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,19-Dec-2019 15:32:26,19-Dec-2019 15:36:50,00:04:24,stop,21,Manual stop,gear oil cold or superheated,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,23-Dec-2019 01:20:00,23-Dec-2019 03:10:44,01:50:44,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,29-Dec-2019 18:18:13,29-Dec-2019 18:39:59,00:21:46,stop,52,Frequency on mains too high,Suspected grid trip,Grid - External Unplanned outage,<undefined>
LLY_WTG12,29-Dec-2019 18:18:21,29-Dec-2019 18:30:07,00:11:46,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,02-Jan-2020 18:15:14,03-Jan-2020 15:02:28,20:47:14,stop,2,Motor Superheated,Awaiting windspeeds to drop below 12m/s for 2+hours before reset is possible,Unscheduled Maintenance - Electrical System,<undefined>
LLY_WTG12,03-Jan-2020 14:05:08,03-Jan-2020 15:10:46,01:05:38,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,03-Jan-2020 15:06:02,03-Jan-2020 15:09:45,00:03:43,stop,21,Manual stop,motor superheated fault,Unscheduled Maintenance - Electrical System,<undefined>
LLY_WTG12,09-Jan-2020 11:14:40,09-Jan-2020 14:41:46,03:27:06,stop,21,Manual stop,Replacing gearbox oil cooler hose,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,09-Jan-2020 11:16:35,09-Jan-2020 14:50:57,03:34:22,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,09-Jan-2020 14:44:07,09-Jan-2020 14:49:48,00:05:41,stop,21,Manual stop,Replacing Gearoil cooling hose,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,11-Jan-2020 12:54:11,11-Jan-2020 13:06:32,00:12:21,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,11-Jan-2020 12:57:22,11-Jan-2020 13:22:44,00:25:22,stop,52,Frequency on mains too high,Suspected grid outage,Grid - External Unplanned outage,<undefined>
LLY_WTG12,13-Jan-2020 16:29:27,14-Jan-2020 08:32:56,16:03:29,stop,33,Overproduction on generator,2 hour monitor of windspeed. If average below 12m/s then reset.,Unscheduled Maintenance - Generator,<undefined>
LLY_WTG12,13-Jan-2020 22:10:00,14-Jan-2020 02:11:11,04:01:11,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,16-Jan-2020 12:34:15,17-Jan-2020 14:19:50,25:45:35,stop,2,Motor Superheated,DWT cannot access Turbine due to weather. Techs to return 17/01,Unscheduled Maintenance - Electrical System,<undefined>
LLY_WTG12,17-Jan-2020 11:33:03,17-Jan-2020 14:35:25,03:02:22,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,24-Jan-2020 01:31:48,24-Jan-2020 01:57:13,00:25:25,stop,51,Low lower voltage exceeded,Suspected grid outage,Grid - External Unplanned outage,<undefined>
LLY_WTG12,26-Jan-2020 14:29:06,26-Jan-2020 14:45:09,00:16:03,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,26-Jan-2020 14:55:03,26-Jan-2020 14:59:22,00:04:19,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,27-Jan-2020 14:48:54,27-Jan-2020 15:03:29,00:14:35,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,28-Jan-2020 08:59:49,28-Jan-2020 14:15:36,05:15:47,stop,2,Motor Superheated,Remote reset attempted - Escalated to DWT 28/01,Unscheduled Maintenance - Electrical System,<undefined>
